340094711	782098526
389881006	360056221236
401918148	1341303870
434086591	1236501230
487864933	360069456235
728016837	360012590356
813242897	1326716390
958234070	9808008388
917908324	360060623616
1098691944	1277525130
1113168638	9318131608
1136331950	1527410190
1255877668	360023926735
1332222010	333773940395
4656990948	6276607827
360042402695	360051755875
# The following three are Thomas Berger (staff account + 2 personal)
360006301395	360059905236
360006301395	360084006275
360059905236	360084006275
